onset	duration	nwb_table	label
5.0	3322.0	states	Awake
3328.0	32.0	states	Non-REM
3361.0	49.0	states	Awake
3411.0	160.0	states	Non-REM
3572.0	45.0	states	Awake
3618.0	9.0	states	REM
3628.0	473.0	states	Non-REM
4102.0	85.0	states	Awake
4188.0	70.0	states	Non-REM
4259.0	38.0	states	Awake
4298.0	15.0	states	REM
4314.0	120.0	states	Non-REM
4435.0	17.0	states	Awake
4453.0	134.0	states	Non-REM
4588.0	177.0	states	REM
4766.0	31.0	states	Awake
4798.0	438.0	states	Non-REM
5237.0	17.0	states	Awake
5255.0	387.0	states	Non-REM
5643.0	93.0	states	REM
5737.0	13.0	states	Awake
5751.0	34.0	states	REM
5786.0	19.0	states	Awake
5806.0	47.0	states	REM
5854.0	19.0	states	Awake
5874.0	322.0	states	Non-REM
6197.0	108.0	states	REM
6306.0	60.0	states	Awake
6367.0	299.0	states	Non-REM
6667.0	94.0	states	REM
6762.0	96.0	states	Awake
6859.0	125.0	states	Non-REM
6985.0	116.0	states	REM
7102.0	71.0	states	Awake
7174.0	9.0	states	REM
7184.0	246.0	states	Awake
7431.0	9.0	states	Non-REM
7441.0	147.0	states	Awake
7589.0	23.0	states	Non-REM
7613.0	19.0	states	Awake
7633.0	151.0	states	Non-REM
7785.0	2037.0	states	Awake
9823.0	6.0	states	Non-REM
9830.0	61.0	states	Awake
9892.0	37.0	states	REM
9930.0	118.0	states	Non-REM
10049.0	21.0	states	Awake
10071.0	214.0	states	Non-REM
10286.0	177.0	states	REM
10464.0	17.0	states	Awake
10482.0	34.0	states	Non-REM
10517.0	18.0	states	Awake
10536.0	79.0	states	Non-REM
10616.0	17.0	states	Awake
10634.0	319.0	states	Non-REM
10954.0	82.0	states	REM
11037.0	20.0	states	Awake
11058.0	23.0	states	REM
11082.0	159.0	states	Non-REM
11242.0	64.0	states	REM
11307.0	39.0	states	Awake
11347.0	286.0	states	Non-REM
11634.0	23.0	states	REM
11658.0	17.0	states	Awake
11676.0	163.0	states	Non-REM
11840.0	172.0	states	REM
12013.0	9.0	states	Awake
12023.0	18.0	states	REM
12042.0	36.0	states	Awake
12079.0	96.0	states	Non-REM
12176.0	36.0	states	Awake
12213.0	300.0	states	Non-REM
12514.0	160.0	states	REM
12675.0	199.0	states	Awake
12875.0	302.0	states	Non-REM
13178.0	15.0	states	REM
13194.0	49.0	states	Awake
13244.0	337.0	states	Non-REM
13582.0	180.0	states	REM
13763.0	10.0	states	Awake
13774.0	98.0	states	REM
13873.0	34.0	states	Awake
13908.0	141.0	states	Non-REM
14050.0	156.0	states	REM
14207.0	10.0	states	Awake
14218.0	22.0	states	REM
14241.0	17.0	states	Awake
14259.0	41.0	states	Non-REM
14301.0	8.0	states	REM
14310.0	485.0	states	Non-REM
14796.0	169.0	states	REM
14966.0	20.0	states	Awake
14987.0	38.0	states	REM
15026.0	12.0	states	Awake
15039.0	16.0	states	REM
15056.0	17.0	states	Awake
15074.0	358.0	states	Non-REM
15433.0	88.0	states	REM
15522.0	41.0	states	Non-REM
15564.0	37.0	states	REM
15602.0	168.0	states	Non-REM
15771.0	71.0	states	REM
15843.0	11.0	states	Awake
15855.0	17.0	states	REM
15873.0	42.0	states	Non-REM
15916.0	177.0	states	Awake
16094.0	148.0	states	Non-REM
16243.0	89.0	states	REM
16333.0	48.0	states	Awake
16382.0	69.0	states	Non-REM
16452.0	25.0	states	Awake
16478.0	415.0	states	Non-REM
16894.0	175.0	states	REM
17070.0	53.0	states	Awake
17124.0	14.0	states	REM
17139.0	234.0	states	Non-REM
17374.0	119.0	states	REM
17494.0	1194.0	states	Awake
18689.0	26.0	states	Non-REM
18716.0	18.0	states	Awake
18735.0	369.0	states	Non-REM
19105.0	13.0	states	Awake
19119.0	75.0	states	Non-REM
19195.0	157.0	states	REM
19353.0	458.0	states	Non-REM
19812.0	182.0	states	REM
19995.0	18.0	states	Awake
20014.0	9.0	states	REM
20024.0	14.0	states	Awake
20039.0	25.0	states	REM
20065.0	140.0	states	Non-REM
20206.0	37.0	states	REM
20244.0	18.0	states	Awake
20263.0	7.0	states	REM
20271.0	94.0	states	Non-REM
20366.0	81.0	states	Awake
20448.0	205.0	states	Non-REM
20654.0	68.0	states	Awake
20723.0	276.0	states	Non-REM
21000.0	145.0	states	REM
21146.0	76.0	states	Awake
21223.0	28.0	states	Non-REM
21252.0	22.0	states	REM
21275.0	18.0	states	Awake
21294.0	317.0	states	Non-REM
21612.0	11.0	states	Awake
21624.0	45.0	states	Non-REM
21670.0	30.0	states	REM
