onset	duration	nwb_table	label
5.0	2950.0	states	Awake
2956.0	556.0	states	Non-REM
3513.0	95.0	states	Awake
3609.0	315.0	states	Non-REM
3925.0	53.0	states	Awake
3979.0	52.0	states	REM
4032.0	56.0	states	Awake
4089.0	37.0	states	Non-REM
4127.0	19.0	states	Awake
4147.0	252.0	states	Non-REM
4400.0	31.0	states	Awake
4432.0	171.0	states	Non-REM
4604.0	14.0	states	Awake
4619.0	73.0	states	REM
4693.0	15.0	states	Awake
4709.0	236.0	states	Non-REM
4946.0	67.0	states	Awake
5014.0	21.0	states	Non-REM
5036.0	53.0	states	Awake
5090.0	631.0	states	Non-REM
5722.0	143.0	states	Awake
5866.0	21.0	states	REM
5888.0	49.0	states	Awake
5938.0	34.0	states	Non-REM
5973.0	24.0	states	Awake
5998.0	30.0	states	Non-REM
6029.0	1217.0	states	Awake
7247.0	111.0	states	Non-REM
7359.0	13.0	states	Awake
7373.0	472.0	states	Non-REM
7846.0	9.0	states	Awake
7856.0	134.0	states	Non-REM
7991.0	52.0	states	Awake
8044.0	44.0	states	REM
8089.0	43.0	states	Non-REM
8133.0	15.0	states	Awake
8149.0	156.0	states	Non-REM
8306.0	81.0	states	REM
8388.0	81.0	states	Non-REM
8470.0	22.0	states	Awake
8493.0	20.0	states	Non-REM
8514.0	24.0	states	Awake
8539.0	166.0	states	Non-REM
8706.0	127.0	states	Awake
8834.0	151.0	states	Non-REM
8986.0	19.0	states	REM
9006.0	8.0	states	Awake
9015.0	93.0	states	Non-REM
9109.0	44.0	states	Awake
9154.0	73.0	states	REM
9228.0	78.0	states	Awake
9307.0	21.0	states	Non-REM
9329.0	48.0	states	Awake
9378.0	370.0	states	Non-REM
9749.0	29.0	states	Awake
9779.0	55.0	states	Non-REM
9835.0	137.0	states	Awake
9973.0	17.0	states	REM
9991.0	76.0	states	Awake
10068.0	325.0	states	Non-REM
10394.0	74.0	states	REM
10469.0	37.0	states	Awake
10507.0	211.0	states	Non-REM
10719.0	121.0	states	REM
10841.0	49.0	states	Awake
10891.0	17.0	states	Non-REM
10909.0	58.0	states	Awake
10968.0	11.0	states	Non-REM
10980.0	19.0	states	Awake
11000.0	155.0	states	Non-REM
11156.0	10.0	states	Awake
11167.0	10.0	states	REM
11178.0	21.0	states	Awake
11200.0	67.0	states	Non-REM
11268.0	10.0	states	Awake
11279.0	106.0	states	Non-REM
11386.0	47.0	states	Awake
11434.0	35.0	states	Non-REM
11470.0	98.0	states	Awake
11569.0	40.0	states	REM
11610.0	16.0	states	Awake
11627.0	413.0	states	Non-REM
12041.0	109.0	states	Awake
12151.0	20.0	states	REM
12172.0	16.0	states	Awake
12189.0	65.0	states	REM
12255.0	22.0	states	Awake
12278.0	40.0	states	Non-REM
12319.0	8.0	states	Awake
12328.0	86.0	states	REM
12415.0	50.0	states	Awake
12466.0	554.0	states	Non-REM
13021.0	63.0	states	Awake
13085.0	428.0	states	Non-REM
13514.0	206.0	states	Awake
13721.0	148.0	states	Non-REM
13870.0	19.0	states	Awake
13890.0	352.0	states	Non-REM
14243.0	58.0	states	Awake
14302.0	126.0	states	Non-REM
14429.0	18.0	states	REM
14448.0	17.0	states	Awake
14466.0	309.0	states	Non-REM
14776.0	97.0	states	REM
14874.0	55.0	states	Awake
14930.0	87.0	states	Non-REM
15018.0	72.0	states	Awake
15091.0	497.0	states	Non-REM
15589.0	203.0	states	Awake
15793.0	472.0	states	Non-REM
16266.0	77.0	states	Awake
16344.0	124.0	states	REM
16469.0	538.0	states	Non-REM
17008.0	244.0	states	Awake
17253.0	14.0	states	Non-REM
17268.0	132.0	states	Awake
17401.0	194.0	states	Non-REM
17596.0	15.0	states	Awake
17612.0	178.0	states	Non-REM
17791.0	77.0	states	Awake
17869.0	84.0	states	REM
17954.0	23.0	states	Awake
17978.0	104.0	states	Non-REM
18083.0	32.0	states	Awake
18116.0	135.0	states	Non-REM
18252.0	21.0	states	Awake
18274.0	45.0	states	Non-REM
18320.0	558.0	states	Awake
18879.0	14.0	states	Non-REM
18894.0	748.0	states	Awake
19643.0	25.0	states	Non-REM
19669.0	234.0	states	Awake
19904.0	580.0	states	Non-REM
20485.0	118.0	states	Awake
20604.0	11.0	states	REM
20616.0	76.0	states	Awake
20693.0	340.0	states	Non-REM
21034.0	50.0	states	Awake
21085.0	32.0	states	REM
21118.0	11.0	states	Awake
21130.0	332.0	states	Non-REM
21463.0	66.0	states	Awake
21530.0	59.0	states	REM
21590.0	21.0	states	Awake
21612.0	346.0	states	Non-REM
21959.0	67.0	states	Awake
22027.0	152.0	states	Non-REM
22180.0	26.0	states	Awake
22207.0	22.0	states	Non-REM
22230.0	192.0	states	Awake
22423.0	402.0	states	Non-REM
22826.0	35.0	states	Awake
22862.0	269.0	states	Non-REM
23132.0	70.0	states	Awake
23203.0	77.0	states	Non-REM
23281.0	68.0	states	Awake
23350.0	111.0	states	Non-REM
23462.0	31.0	states	Awake
23494.0	119.0	states	REM
23614.0	32.0	states	Awake
23647.0	325.0	states	Non-REM
23973.0	61.0	states	REM
24035.0	34.0	states	Awake
24070.0	9.0	states	REM
24080.0	653.0	states	Non-REM
24734.0	173.0	states	Awake
24908.0	23.0	states	REM
24932.0	138.0	states	Awake
25071.0	563.0	states	Non-REM
25635.0	75.0	states	REM
25711.0	122.0	states	Awake
25834.0	394.0	states	Non-REM
26229.0	24.0	states	Awake
26254.0	284.0	states	Non-REM
26539.0	15.0	states	Awake
26555.0	111.0	states	Non-REM
26667.0	29.0	states	Awake
26697.0	16.0	states	REM
26714.0	9.0	states	Awake
26724.0	32.0	states	REM
26757.0	179.0	states	Awake
26937.0	290.0	states	Non-REM
27228.0	138.0	states	REM
27367.0	23.0	states	Awake
27391.0	86.0	states	Non-REM
27478.0	22.0	states	Awake
27501.0	88.0	states	Non-REM
27590.0	51.0	states	Awake
27642.0	59.0	states	Non-REM
27702.0	24.0	states	Awake
